,vendor,product_line,product,MD5,DSM,url,downloaded,exception_e
36,Synology,NAS,DS710+,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x0000000102745c8e chromedriver + 457870
6   chromedriver                        0x00000001027b8d9a chromedriver + 929178
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x00000001027b8134 chromedriver + 926004
9   chromedriver                        0x000000010279fb33 chromedriver + 826163
10  chromedriver                        0x00000001027709fd chromedriver + 633341
11  chromedriver                        0x0000000102772051 chromedriver + 639057
12  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
13  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
14  chromedriver                        0x0000000102b376df chromedriver + 4593375
15  chromedriver                        0x0000000102b308fa chromedriver + 4565242
16  chromedriver                        0x0000000102b062cf chromedriver + 4391631
17  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
18  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
19  chromedriver                        0x0000000102b6581e chromedriver + 4782110
20  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
21  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
37,Synology,NAS,DS220+,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x0000000102745c8e chromedriver + 457870
6   chromedriver                        0x00000001027b8d9a chromedriver + 929178
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x00000001027b8134 chromedriver + 926004
9   chromedriver                        0x000000010279fb33 chromedriver + 826163
10  chromedriver                        0x00000001027709fd chromedriver + 633341
11  chromedriver                        0x0000000102772051 chromedriver + 639057
12  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
13  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
14  chromedriver                        0x0000000102b376df chromedriver + 4593375
15  chromedriver                        0x0000000102b308fa chromedriver + 4565242
16  chromedriver                        0x0000000102b062cf chromedriver + 4391631
17  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
18  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
19  chromedriver                        0x0000000102b6581e chromedriver + 4782110
20  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
21  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
38,Synology,NAS,DS220j,31be297bf3f2cd9675a6978be1f4825b,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS220j?version=7.1#system,NotImplemented,
39,Synology,NAS,DS218+,594de8b190f950ca66bcfc13121bc8d8,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS218+?version=7.1#system,NotImplemented,
40,Synology,NAS,DS218,594de8b190f950ca66bcfc13121bc8d8,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS218?version=7.1#system,NotImplemented,
41,Synology,NAS,DS218play,044c097ca8bd64b68046eb40482cb8c6,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS218play?version=7.1#system,NotImplemented,
42,Synology,NAS,DS218j,fb069223d79693eb764a7bf690500062,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS218j?version=7.1#system,NotImplemented,
43,Synology,NAS,DS216+II,2eeadf5d52e90eb6987acf8b69f8f679,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS216+II?version=7.1#system,NotImplemented,
44,Synology,NAS,DS216+,2eeadf5d52e90eb6987acf8b69f8f679,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS216+?version=7.1#system,NotImplemented,
45,Synology,NAS,DS216,d3daf16ed08ca765192cc5c76948ecf7,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS216?version=7.1#system,NotImplemented,
